Date;Time;Distance;VertDev;HorzDev;Headroll;Gradient;PresCutter;F Jacks;RPMCutter;Speed;PresSlurry;WayCyl1;WayCyl2;WayCyl3;PresCyl1;PresCyl2;PresCyl3;Pres Jacks;User;Laser
 28:01:17;11:11:14;0.50;13.4;1.7;2.6;-0.4;0.0;753.8;0.0;0.0;0.1;-0.2;-0.2;-0.2;0.9;5.0;1.9;372.4;DCO ;Laser okay
 28:01:17;11:15:26;0.50;13.3;1.6;2.6;-0.4;0.0;0.0;0.0;0.0;0.1;-0.2;-0.2;-0.2;1.0;5.3;1.9;0.0;DCO ;Laser okay
 28:01:17;11:15:41;0.50;13.3;1.6;2.6;-0.4;0.0;0.0;0.0;0.0;0.1;-0.1;-0.2;-0.2;1.0;5.7;1.9;0.0;DCO ;Laser okay
 28:01:17;11:15:57;0.50;13.3;1.5;2.6;-0.4;0.0;0.0;0.0;0.0;0.1;-0.1;-0.2;-0.2;1.0;5.7;1.9;0.0;DCO ;Laser okay
 28:01:17;11:16:13;0.50;13.3;1.5;2.6;-0.4;0.0;0.0;0.0;0.0;0.1;-0.1;-0.2;-0.2;0.9;5.7;1.9;0.0;DCO ;Laser okay
 28:01:17;11:16:29;0.50;13.3;1.5;2.6;-0.4;0.0;0.0;0.0;0.0;0.1;-0.1;-0.2;-0.2;1.0;5.8;1.9;0.0;DCO ;No Laser
 28:01:17;11:17:14;0.50;13.2;1.5;2.6;-0.4;0.0;42.1;0.0;0.0;0.1;-0.1;-0.2;-0.2;1.0;5.7;1.9;20.8;DCO ;Laser okay
 28:01:17;11:18:01;0.50;13.2;-0.6;2.6;-0.4;0.0;80.6;0.0;0.0;0.1;-0.3;-0.2;-0.3;1.0;6.2;2.1;39.8;DCO ;No Laser
 28:01:17;11:18:17;0.50;13.3;-0.8;2.6;-0.4;0.0;25.4;0.0;0.0;0.1;-0.3;-0.2;-0.3;1.0;5.9;2.2;12.5;DCO ;No Laser
 28:01:17;11:52:30;0.50;12.8;0.3;2.6;-0.4;19.6;0.0;0.0;0.0;0.3;-0.2;-0.2;-0.2;1.0;11.8;2.1;0.0;DCO ;No Laser
 28:01:17;11:52:45;0.50;12.8;0.3;2.6;-0.4;24.6;1.9;0.0;0.0;0.3;-0.2;-0.2;-0.2;1.0;12.1;2.1;0.9;DCO ;No Laser
 28:01:17;11:53:01;0.50;12.8;0.3;2.6;-0.4;28.7;11.0;0.0;0.0;0.3;-0.2;-0.2;-0.2;1.0;11.9;2.1;5.4;DCO ;No Laser
